category,text
politics,council tax rise  reasonable  welsh councils should set their taxes at  reasonable levels  after being given an average funding increase of 6%  says the assembly government.  finance minister sue essex said it was a  good deal  for local government. the £3.2bn settlement includes the  full  £7.4m from the uk treasury announced by chancellor gordon brown. but opposition parties said rebanding of council taxes would mean steep rises. in addition  £13.4m will come from the business support grant - a scheme which enables local authorities to keep part of business rates. she said where spending rises were kept to around 5% she was  confident that councils will be able to set council taxes at reasonable levels.  the welsh local government association (wlga) had said on the eve of the announcement said that  significant  cuts to services may still be unavoidable. after the announcement wlga finance spokesman bob wellington  of torfaen  said it was vital that rises were minimsed.  a limited amount of money has come available but this is not the answer to our problems   said mr wellington.  it is vital that we start now to plan for future years and accept that resources will continue to reduce while pressures on services increase.  on monday  a delegation of north wales councils visited ms essex to lobby for increased funds. ms essex said:  i have listened to the views of local government and council tax payers and recognise the funding pressures and the concerns they have about council tax rises.  i have met a large number of local authorities in recent weeks and i am aware of the pressures on them to provide local services and keep down the level of council tax  particularly for those people to are moving up a band due to the revaluation of domestic properties.  she said council taxes could be kept at reasonable levels   even for those people who have moved up a band .  the settlement includes a rise in the grant to help councils with the most deprived communities and a 16.4% rise in capital expenditure support. ms essex said:  this is a good deal for local government  which will allow the well-managed councils of wales to develop their services and charge reasonable levels of council tax. it is now a matter for council leaders to manage their budgets at a local level.  plaid cymru s local government spokesman dai lloyd called the announcement  hugely disappointing . he said:  wales and its local authorities have been short changed yet again. this is not whinging as the labour assembly government so often claims - it is anger.   this will mean either a massive hike in council tax  massive cuts in services provided by councils  or both.  mike german  leader of the liberal democrats in the assembly  claimed that one in three homes were still likely to face council tax rises due to rebanding. mr german said:  i know from my discussions with welsh liberal democrat council leaders that they are doing their utmost to keep council tax to a minimum. but the random redistribution effect of rebanding...will create a great deal of difficulty.  conservative local government spokesman glyn davies said that for the minister to claim that the majority of council tax payers in wales should see very little change  is taking spin to the very verge of deception . he added:  around a third of welsh households have been re-valued upwards by at least one band and inevitably face increases into double figures.
entertainment,berlin applauds hotel rwanda political thriller hotel rwanda was given a rousing reception by spectators at the berlin film festival on saturday.  the movie s star don cheadle also received a standing ovation when he stepped onto the stage after the show. the film is the true story of the hotel manager who saved 1 200 tutsis from death during the rwandan genocide. the film  showing out of competition in berlin  is nominated for three oscars  including best actor for cheadle. sophie okonedo  who plays cheadle s wife tatiana  is nominated for best supporting actress. the film is also in the running for best original screenplay. cheadle  was joined on stage at berlin by paul rusesabagina  the hotel manager he plays in the film  mr rusesabagina s wife and his extended family  who fled rwanda and now live in belgium. mr rusesabagina used his influence as a prominent hutu businessman to shelter potential victims of the rwandan genocide  contacting dignitaries including bill clinton  the king of belgium as well as the french foreign ministry. hotel rwanda is one of two films addressing the genocide at the 55th berlin film festival  which runs until 20 february. sometimes in april is a feature by raoul peck competing for the festival s coveted golden and silver bear awards. the film was made exclusively in rwanda whereas hotel rwanda was shot mostly in south africa  with some scenes made in kigali.
tech,intel unveils laser breakthrough intel has said it has found a way to put a silicon-based laser on a chip  raising hopes of much faster networks.  scientists at intel have overcome a fundamental problem that before now has prevented silicon being used to generate and amplify laser light. the breakthrough should make it easier to interconnect data networks with the chips that process the information. the intel researchers said products exploiting the breakthrough should appear by the end of the decade.   we ve overcome a fundamental limit   said dr mario paniccia  director of intel s photonics technology lab. writing in the journal nature  dr paniccia - and colleagues haisheng rong  richard jones  ansheng liu  oded cohen  dani hak and alexander fang - show how they have made a continuous laser from the same material used to make computer processors. currently  says dr paniccia  telecommunications equipment that amplifies the laser light that travels down fibre optic cables is very expensive because of the exotic materials  such as gallium arsenide  used to make it.  telecommunications firms and chip makers would prefer to use silicon for these light-moving elements because it is cheap and many of the problems of using it in high-volume manufacturing have been solved.  we re trying to take our silicon competency in manufacturing and apply it to new areas   said dr paniccia. while work has been done to make some of the components that can move light around  before now silicon has not successfully been used to generate or amplify the laser light pulses used to send data over long distances. this is despite the fact that silicon is a much better amplifier of light pulses than the form of the material used in fibre optic cables. this improved amplification is due to the crystalline structure of the silicon used to make computer chips. dr paniccia said that the structure of silicon meant that when laser light passed through it  some colliding photons rip electrons off the atoms within the material.  it creates a cloud of electrons sitting in the silicon and that absorbs all the light   he said. but the intel researchers have found a way to suck away these errant electrons and turn silicon into a material that can both generate and amplify laser light. even better  the laser light produced in this way can  with the help of easy-to-make filters  be tuned across a very wide range of frequencies. semi-conductor lasers made before now have only produced light in a narrow frequency ranges. the result could be the close integration of the fibre optic cables that carry data as light with the computer chips that process it. dr paniccia said the work was the one of several steps needed if silicon was to be used to make components that could carry and process light in the form of data pulses.  it s a technical validation that it can work   he said.
business,khodorkovsky quits yukos shares jailed tycoon mikhail khodorkovsky has transferred his controlling stake in oil giant yukos to a business partner.  mr khodorkovsky handed over his entire 59.5% stake in holding company group menatep - which controls yukos - to leonid nevzlin. a close ally of the ex-yukos boss  mr nevzlin is currently based in israel. mr khodorkovsky handed over his stake after the forced sale of yukos  core oil production unit  yuganskneftegaz to pay a giant tax bill.  yuganskneftegaz was sold off at auction in december last year  eventually falling into the hands of state oil firm rosneft in a deal worth $9.4bn (£5bn).  since the sale of yuganskneftegaz  i have been delivered of (all) responsibility for the business that remains and the group s money as a whole   mr khodorkovsky said.  it is all over. as before  i see my future in public activity to build a civil society in russia.  mr nevzlin is yukos  largest shareholder but is living in self-imposed exile in israel. yuganskneftegaz pumps around 1 million barrels of oil a day. it was sold by the russian authorities to recover government tax claims against yukos totalling over $27bn. previously considered to be russia s richest man  with an estimated fortune of $15bn  mr khodorkovsky is currently on trial for fraud and tax evasion following his arrest in october 2003. however  the charges are widely seen as politically motivated and part of a drive by russian president vladimir putin to rein in the country s super-rich business leaders  the so-called oligarchs. it is also believed that mr khodorkovsky was particularly targeted because he had started to bankroll political opponents of mr putin.
entertainment,housewives lift channel 4 ratings the debut of us television hit desperate housewives has helped lift channel 4 s january audience share by 12% compared to last year.  other successes such as celebrity big brother and the simpsons have enabled the broadcaster to surpass bbc2 for the first month since last july. however the channel s share of the audience fell from 11.2% to 9.6% last month in comparison with january 2004. celebrity big brother attracted less viewers than its 2002 series.  comedy drama desperate housewives managed to pull in five million viewers at one point during its run to date  attracting a quarter of the television audience. the two main television channels  bbc1 and itv1  have both seen their monthly audience share decline in a year on year comparison for january  while five s proportion remained the same at a slender 6.3%. digital multi-channel tv is continuing to be the strongest area of growth  with the bbc reporting freeview box ownership of five million  including one million sales in the last portion of 2004. its share of the audience soared by 20% in january 2005 compared with last year  and currently stands at an average of 28.6%.
sport,beattie return calms attack fears everton striker james beattie has been declared fit for training on tuesday  despite suffering an alleged assault last saturday.  beattie  27  is not believed to be as seriously hurt as some reports have suggested after being  the victim of an unprovoked assault  in birmingham. he was on a night out with his girlfriend and two friends following everton s 3-1 win over aston villa.  he was shaken but not badly injured   said everton spokesman ian ross. he added:  he did speak to the police but will not be pressing charges.  he has spoken to manager david moyes about what happened.  beattie was suspended for the win at aston villa after his red card against chelsea and he will be available again for the merseyside derby at liverpool on 20 march.
politics,chancellor rallies labour voters gordon brown has issued a rallying cry to supporters  warning the  stakes are too high  to stay at home or protest vote in the next general election.  the chancellor said the poll - expected to fall on 5 may - would give a  clear and fundamental  choice between labour investment and tory cuts. he told his party s spring conference the tories must not be allowed to win. the conservatives and lib dems insisted that voters faced higher taxes and means-testing under labour.  to a packed audience at gateshead s sage centre  mr brown accused shadow chancellor oliver letwin of plotting cuts that were the equivalent of sacking every teacher  gp and nurse in the country. laying into the conservative s record in government he said:  i give you this promise - with labour  britain will never return to the mistakes of erm and 10% inflation  15% interest rates  £3bn in lost reserves  250 000 repossessed  one million in negative equity and three million unemployed.  never again tory boom and bust.   this will be the central dividing line at the election  between a conservative party taking britain back and planning deep cuts of £35bn in our services  and a labour government taking britain forward  which on a platform of stability will reform and renew our hospitals  schools and public services and  i am proud to say  spend by 2008 £60bn more.  turning to the economy  the chancellor promised to continue economic stability and growth in a third term in power.  he also pledged to continue the fight against child and pensioner poverty. and he promised help to get young people on the property ladder.  my message to the thousands of young couples waiting to obtain their first home is that housing is rightly now at the centre of our coming manifesto   he said.  and the next labour government will match our low mortgage rates with a new first-time buyers  initiative.  in the speech  which prompted a standing ovation  he also promised to end teenage unemployment within the next five years.  he also highlighted plans for 100% debt relief for the world s poorest countries  a national minimum wage for 16 and 17-year-olds  the creation of a network of children s centres and flexibility in maternity leave. responding to the speech  shadow chief secretary to the treasury  george osborne  said:  this was more talk from gordon brown.  we ve heard it all before. instead of talking about the future he kept on talking about the past.  he completely failed to say which taxes he would put up to fill the black hole in his spending plans.  there will be a simple choice at the election - value for money and lower taxes with the conservatives  or more waste and higher taxes under tony blair and gordon brown.   liberal democrat shadow chancellor vince cable warned the picture was not as rosy as mr brown would like to portray it.  for all his trumpeting of labour s management of the economy  gordon brown s record is very mixed   he said.  gordon brown has created a system of massive centralisation and bureaucracy  a system which subjects millions of people to means testing  and a system of taxation which is extremely complex.  for all his positive words  gordon brown is faced with economic problems looming on the horizon  not least the unprecedented levels of personal debt facing the nation.  also in gateshead  the prime minister took questions sent in by e-mail  text message and telephone as part of labour s attempt to engage the public in their campaign. mr blair told the audience he believed the iraq war would have made britain a safer place if its emerging democracy succeeded and that he wanted to bring troops home as soon as possible  but not before the job was done. he also said he wanted to carry on as pm  because i still think that there are big changes our country needs .
politics,bid to cut court witness stress new targets to reduce the stress to victims and witnesses giving evidence in courts in england and wales have been announced by the lord chancellor.  lord falconer wants all crown courts and 90% of magistrates  courts to have facilities to keep witnesses separate from defendants within four years. more video links will also be made available so that witnesses do not have to enter courtrooms. it is part of a five-year plan to help build confidence in the justice system.  ministers say the strategy is aimed at re-balancing the court system towards victims  and increasing the number of offenders brought to justice. launching the department for constitutional affairs  plan  lord falconer said:  one of the top priorities will be a better deal for victims.  the needs and safety of victims will be at the heart of the way trials are managed.   courts  judges  magistrates  prosecutors  police and victim support - all working together to ensure the rights of victims are put first  without compromising the rights of the defendant.  he went on:  giving evidence is a nerve-wracking experience  especially when you re a victim.  yet with a will and with support it can be done.  lord falconer told bbc radio 4 s today programme it was impossible for some elderly people to go to court to give evidence. other witnesses could be intimidated by sitting alongside defendants outside courts.  you are never going to get rid of some element of the trauma of giving evidence   he said.  but you can make people believe that the courts understand the problem  it s not some kind of alien place where they go where they are not thinking about them.   the plan comes as the lord chancellor also considers allowing cameras into courts for the first time since 1925  as long as they were used for cases that did not involve witnesses. another feature of the strategy is constitutional reform  with a government bill to set up a supreme court and a judicial appointments commission returning to the house of lords on tuesday. ministers had proposed getting rid of the title of lord chancellor  but the lords have over-ruled this. lord falconer said it was right for the highest court to be completely distinct from parliament. the person in charge of the court system should not also be speaker of the house of lords  he said  and should be the best person chosen from either house of parliament. what they did  not what they were called  was the critical issue  he added.
sport,greek pair set for hearing kostas kenteris and katerina thanou will fight the provisional two-year bans imposed on them by the iaaf at an independent tribunal this weekend.  athletics  ruling body took action against the pair for failing to take drugs tests before the athens olympics. an independent tribunal of the greek track and field federation will meet to decide whether to ratify the sanction. the sprint duo face charges of failing to give information on their location and refusing to submit to a drugs test. kenteris  lawyer gregory ioannidis told bbc sport:  we refute both charges as unsubstantiated and illogical.  there have been certain breaches in the correct application of the rules on behalf of the sporting authorities and their officials  and these procedural breaches have also violated my client s rights.  there is also evidence that proves the fact that my client has been persecuted.  ioannidis  who is a law lecturer at the university of buckingham  added:  one of the important rights and foundations of law and justice - that the accused should be presumed innocent unless proved otherwise - has been tarnished.  the panel will also decide on the two-year ban imposed on the athletes  controversial coach christos tzekos by the iaaf. kenteris  the 2000 olympic 200m champion  and thanou  the women s 100m silver medallist from the same games in sydney  quit the olympics on 18 august after failing to give samples on the eve of the opening ceremony.  testers could not find them at the olympic village and the duo were later admitted to hospital after claiming to have been involved in a motorcycle accident. they also missed tests in tel aviv  chicago and athens before the games. in imposing two-year suspensions on the duo on 22 december  the iaaf described their explanations for missing the tests as  unacceptable . whatever the findings of the independent tribunal  all parties will have the right to appeal to the court of arbitration for sport. the tribunal hearing will take place at the hellenic olympic committee building. it will start at 1200 gmt on saturday and is expected to finish early next week. the tribunal panel will consist of five members - president konstantinos panagopoulos and panagiotis dimakos  haralabos hrisanthakis  stilianos perakis and ioannis karmis. kenteris and thanou also face criminal charges in greece for allegedly faking the motorcycle accident. eight criminal charges have been laid against the sprinters as well as tzekos  an eyewitness to the accident and hospital officials. but there has been speculation that the charges could be dropped.
politics,brown ally rejects budget spree chancellor gordon brown s closest ally has denied suggestions there will be a budget giveaway on 16 march.  ed balls  ex-chief economic adviser to the treasury  said there would be no spending spree before polling day. but mr balls  a prospective labour mp  said he was confident the chancellor would meet his fiscal rules. he was speaking as sir digby jones  cbi director general  warned mr brown not to be tempted to use any extra cash on pre-election bribes.  mr balls  who stepped down from his treasury post to stand as a labour candidate in the election  had suggested that mr brown would meet his golden economic rule -  with a margin to spare . he said he hoped more would be done to build on current tax credit rules.  he also stressed rise in interest rates ahead of an expected may election would not affect the labour party s chances of winning. expectations of a rate rise have gathered pace after figures showed house prices are still rising. consumer borrowing rose at a near-record pace in january.  if the mpc (the bank of england s monetary policy committee) were to judge that a rate rise was justified before the election because of the strength of the economy - and i m not predicting that they will - i do not believe that this will be a big election issue in britain for labour   he told a parliamentary lunch.  this is a big change in our political culture.   during an interview with bbc radio 4 s today programme  mr balls said he was sure mr brown s budget would not put at risk the stability of the economy.  i don t think we ll see a pre-election spending spree - we certainly did not see that before 2001   he said.  his assurances came after sir digby jones said stability was all important and any extra cash should be spent on improving workers  skills. his message to the chancellor was:  please don t give it away in any form of electioneering.  sir digby added:  i don t think he will. i have to say he has been a prudent chancellor right the way through. stability is the key word - british business needs boring stability more than anything.  we would say to him  don t increase your public spending  don t give it away. but if you are going to anywhere  just add something to the competitiveness of britain  put it into skilling our people .  that would be a good way to spend any excess.   mr balls refused to say whether mr brown would remain as chancellor after the election  amid speculation he will be offered the job of foreign secretary.  i think that gordon brown wants to be part of the successful labour government which delivers in the third term for the priorities of the people and sees off a conservative party that will take britain backwards   mr balls told today. prime minister tony blair has yet to name the date of the election  but most pundits are betting on 5 may.
