category,text
tech,tv futur hand viewer home theatr system plasma high definit tv digit video record move live room way peopl watch tv radic differ year time accord expert panel gather annual consum electron la vega discuss new technolog impact favourit pastim lead trend programm content deliv viewer home network cabl satellit telecom compani broadband servic provid room portabl devic talk technolog ce digit person video record dvr pvr set box like tivo uk sky+ system allow peopl record store play paus forward wind tv programm want essenti technolog allow personalis tv build high definit tv set big busi japan slow europ lack high definit program peopl forward wind advert forget abid network channel schedul put la cart entertain network cabl satellit compani worri mean term advertis revenu brand ident viewer loyalti channel lead technolog moment concern rais europ particularli grow uptak servic like sky+ happen today month year time uk adam hume bbc broadcast futurologist tell bbc news websit like bbc issu lose advertis revenu press issu moment commerci uk broadcast brand loyalti import talk content brand network brand say tim hanlon brand commun firm starcom mediav realiti broadband connect anybodi produc content ad challeng hard promot programm choic mean say stacey jolna senior vice presid tv guid tv group way peopl find content want watch simplifi tv viewer mean network term channel leaf googl book search engin futur instead schedul help peopl find want watch kind channel model work young ipod gener take control gadget play suit panel recognis old gener comfort familiar schedul channel brand know get want choic hand mr hanlon suggest end kid diaper push button possibl avail say mr hanlon ultim consum tell market want 50 000 new gadget technolog showcas ce enhanc tv watch experi high definit tv set new model lcd liquid crystal display tv launch dvr capabl build instead extern box exampl launch humax 26 inch lcd tv 80 hour tivo dvr dvd record big satellit tv compani directtv launch brand dvr 100 hour record capabl instant replay search function set paus rewind tv 90 hour microsoft chief bill gate announc pre keynot speech partnership tivo call tivotogo mean peopl play record programm window pc mobil devic reflect increa trend free multimedia peopl watch want want
business,worldcom boss leave book worldcom boss berni ebber accus overse 11bn £5.8bn fraud account decis wit tell juror david myer comment question defenc lawyer argu mr ebber respon worldcom problem phone compani collap 2002 prosecutor claim loss hide protect firm share mr myer plead guilti fraud assist prosecutor monday defenc lawyer reid weingarten tri distanc client alleg cross examin ask mr myer know mr ebber account decis awar mr myer repli know mr ebber account entri worldcom book mr weingarten press repli wit mr myer admit order fal account entri request worldcom chief financi offic scott sullivan defenc lawyer tri paint mr sullivan admit fraud testifi later trial mastermind worldcom account hous card mr ebber team look portray affabl boss admiss pe graduat economist abil mr ebber transform worldcom rel unknown 160bn telecom giant investor darl late 1990 worldcom problem mount competit increa telecom boom peter firm final collap sharehold lose 180bn 20 000 worker lose job mr ebber trial expect month find guilti ceo face substanti jail sentenc firmli declar innoc
sport,tiger wari farrel gambl leicest rush make bid andi farrel great britain rugbi leagu captain decid switch code anybodi involv process way away go stage tiger boss john well tell bbc radio leicest moment lot unknown andi farrel medic situat go big big gambl farrel persist knee problem oper knee week ago expect month leicest saracen believ head list rugbi union club interest sign farrel decid 15 man game union well believ well play back initi sure step leagu union involv centr say well think england prefer progress posit row use rugbi leagu skill forward juri cross divid club balanc strike cost gambl option bring readi replac
sport,yead face newcastl fa cup premiership newcastl unit face trip ryman premier leagu leader yead fa cup round game arguabl highlight draw potenti money spinner non leagu yead beat slough second round confer exet citi knock doncast saturday travel old trafford meet holder manch unit januari arsen draw home stoke chelsea play host scunthorp non leagu draw hinckley unit hold brentford goalless draw sunday meet leagu leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend 8/9 januari place everton visit plymouth liverpool travel burnley crystal palac sunderland fulham face carl cup semi finalist watford bolton meet ipswich aston villa draw sheffield unit premiership struggler norwich blackburn west brom away west ham cardiff preston north end respect southampton visit northampton have beat leagu carl cup early season middlesbrough draw away swindon nott counti spur entertain brighton white hart lane arsen stoke swindon nott co middlesbrough man utd exet plymouth everton leicest blackpool derbi wigan sunderland crystal palac wolv millwal yead newcastl hull colch tottenham brighton read stockport swansea birmingham leed hartlepool boston milton keyn don peterborough oldham man citi chelsea scunthorp cardiff blackburn charlton rochdal west ham norwich sheff utd aston villa preston west brom rotherham yeovil burnley liverpool bournemouth chester coventri crew watford fulham ipswich bolton portsmouth gillingham northampton southampton qpr nottm forest luton hinckley brentford match play weekend 8/9 januari
entertainment,ocean raid box offic ocean crime caper sequel star georg clooney brad pitt julia robert go straight number box offic chart take 40.8 £21 weekend ticket sale accord studio estim sequel follow master crimin tri pull major heist europ knock week number nation treasur place wesley snipe blade triniti second take 16.1 £8.4 round anim fabl polar express star tom hank festiv comedi christma krank ocean box offic triumph mark fourth big open decemb relea film lord ring trilog sequel narrowli beat 2001 predecessor ocean take 38.1 £19.8 open weekend 184 £95.8 total remak 1960 film star frank sinatra rat pack ocean direct oscar win director steven soderbergh soderbergh return direct hit sequel reunit clooney pitt robert matt damon andi garcia elliott gould catherin zeta jone join star cast fun good holiday movi say dan fellman presid distribut warner bro critic complimentari 110 £57.2 project lo angel time label dispirit vaniti project milder review new york time dub sequel unabashedli trivial
politics,howard hit mongrel jibe michael howard say claim peter hain tori leader act like attack mongrel show labour rattl opposit upbeat speech parti spring confer brighton say labour campaign tactic prove tori hit home mr hain claim tori tactic anti terror bill debat tell littl bit rattl mr howard say mr hain leader common tell bbc radio today programm mr howard stanc govern anti terror legisl put countri risk accus tori leader behav like attack mongrel play opposit opposit sake mr howard tell parti labour claim cle offic cost far year compar fagin shylock fli pig morn peter hain call mongrel don know tell littl bit rattl environ secretari margaret beckett reject mr howard comment tell radio 4 pm programm labour rattl real duti tri peopl focu michael howard record propos tri forward countri exampl see believ poor judgement behalf mr howard say tori polici school tax immigr crime strike chord voter begin year elect year ve make polit weather tell parti confer mr howard deni play polit rais case margaret dixon oper cancel seven time grab headlin parti week ago hit labour claim mr dixon human shield human shield mr blair human mr howard say parti plan immigr quota focu medium coverag racist common sen pledg cleaner hospit well school disciplin promis rid polit correct nation curriculum chanc decent state educ come ordinari famili teenag michael howard appli cambridg today gordon brown love stress parti commit cut tax red tape increa basic state pension line earn finish person appeal parti activist win elect day abl tell child grandchild tell bit play help win famou elect elect transform countri well labour elect co ordin alan milburn say michael howard speech today confirm say strategi opportun forward vision countri refer appear mr howard famili confer stage mr milburn say michael howard perfectli entitl pose famili today hard work famili britain damag plan cut £35bn public spend
politics,blair prepar poll date toni blair like 5 elect day parliament return easter break bbc polit editor learn andrew marr say mr blair ask queen 4 5 april dissolv parliament end week mr blair far resist call day parti step campaign recent down street draw claim say elect time matter prime minist number 10 spokeswoman announc elect want announc elect signal frantic week westminst govern like tri key legisl parliament govern need financ bill cover budget plan pass common close busi end session 7 april seek push organis crime bill card bill mr marr say wednesday today programm senior level insid govern parliament doesn expect elect call 4 5 april soon common short easter recess toni blair whip palac ask queen dissolv parliament go labour govern offici june 2006 hold gener elect recent year govern favour year term
sport,henman hope end dubai seed tim henman slump straight set defeat rain interrupt dubai open quarter final ivan ljubic croatian eighth seed book place 7 5 6 4 victori british number henman look cour level match go 2 0 second set progress halt rain interven ljubic hit break seal fourth straight win henman early day spanish fifth seed tommi robredo secur semi final place beat nicola kiefer germani 6 4 6 4 henman leave cur weather umpir seven break rain match incred frustrat henman say rain umpir doesn control keep tell play till end game rain come score irrelev couldn frustrat happi form don expect desert
sport,wilkinson fit face edinburgh england captain jonni wilkinson long await return injuri edinburgh saturday wilkinson play injur bicep 17 octob take contact train newcastl falcon wednesday 25 year old fli half start saturday heineken cup match murrayfield bench newcastl director rugbi rob andrew say fine hope game stage 25 year old miss england autumn intern aggrav haematoma upper right arm saracen subsequ replac england captain jason robinson sale charli hodgson take number 10 shirt intern canada south africa australia wilkinson year disrupt injuri muscl problem follow month sidelin shoulder injuri sustain world cup final
entertainment,star war child sixth final star war movi suitabl young child film maker georg luca say tell tv 60 minut reveng sith darkest violent seri don think year old tell cb programm air sunday luca predict film rate advis parent scene unsuit under-13 open uk 19 say expect film classifi pg-13 roughli equival british 12a rate previou star war film carri restrict pg parent guidanc rate uk pass suitabl except attack clone get pg rate 2002 reveng sith prequel origin 1977 star war film chronicl transform heroic anakin skywalk evil darth vader travel hell like planet compos erupt volcano melt lava go watch pact devil luca say film dark emot tragedi
